,iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
0,CHN,China,1447065329,1439323776,9706961,149,0.34,18.34,1
1,IND,India,1401310563,1380004385,3287590,424,0.97,17.69,2
2,USA,United States,334058426,331002651,9372610,36,0.58,4.23,3
3,IDN,Indonesia,278037263,273523615,1904569,145,1.04,3.51,4
4,PAK,Pakistan,227724796,220892340,881912,255,1.95,2.86,5
5,BRA,Brazil,214832901,212559417,8515767,25,0.67,2.72,6
6,NGA,Nigeria,214507696,206139589,923768,229,2.55,2.68,7
7,BGD,Bangladesh,167247491,164689383,147570,1,0.98,2.11,8
8,RUS,Russia,145899956,145934462,17098242,9,-0.02,1.85,9
9,MEX,Mexico,131046075,128932753,1964375,66,1.03,1.65,10
10,JPN,Japan,125802521,126476461,377930,334,-0.34,1.6,11
11,ETH,Ethiopia,119590501,114963588,1104300,107,2.53,1.5,12
12,PHL,Philippines,111913102,109581078,342353,324,1.34,1.41,13
13,EGY,Egypt,105390688,102334404,1002450,104,1.88,1.32,14
14,VNM,Vietnam,98655916,97338579,331212,296,0.85,1.25,15
15,TUR,Turkey,85484777,84339067,783562,109,0.83,1.08,17
16,IRN,Iran,85627052,83992949,1648195,52,1.23,1.08,18
17,DEU,Germany,83975691,83783942,357114,235,0.14,1.07,19
18,THA,Thailand,70039646,69799978,513120,136,0.22,0.89,20
19,GBR,United Kingdom,68401087,67886011,242900,281,0.47,0.87,21
20,FRA,France,65520147,65273511,551695,119,0.23,0.83,22
21,TZA,Tanzania,62539416,59734218,945087,65,2.95,0.78,23
22,ITA,Italy,60320493,60461826,301336,200,-0.16,0.77,24
23,ZAF,South Africa,60474550,59308690,1221037,49,1.24,0.76,25
24,KEN,Kenya,55703607,53771296,580367,95,2.26,0.7,26
25,MMR,Myanmar,55037700,54409800,676578,81,0.73,0.7,27
26,KOR,South Korea,51331264,51269185,100210,512,0.07,0.65,28
27,COL,Colombia,51504213,50882891,1141748,45,0.75,0.65,29
28,UGA,Uganda,47942521,45741007,241550,195,3.02,0.6,30
29,ESP,Spain,46736811,46754778,505992,92,-0.02,0.59,31
30,ARG,Argentina,45847428,45195774,2780400,16,0.91,0.58,32
31,SDN,Sudan,45532863,43849260,1886068,24,2.42,0.57,33
32,DZA,Algeria,45061896,43851044,2381741,19,1.75,0.57,34
33,UKR,Ukraine,43312073,43733762,603500,72,-0.61,0.55,35
34,IRQ,Iraq,41750703,40222493,438317,94,2.38,0.52,36
35,AFG,Afghanistan,40374668,38928346,652230,61,2.33,0.51,37
36,CAN,Canada,38261228,37742154,9984670,4,0.86,0.48,38
37,POL,Poland,37764461,37846611,312679,121,-0.13,0.48,39
38,MAR,Morocco,37599544,36910560,446550,84,1.18,0.47,40
39,SAU,Saudi Arabia,35659227,34813871,2149690,16,1.51,0.45,41
40,UZB,Uzbekistan,34207969,33469203,447400,76,1.39,0.43,42
41,AGO,Angola,34566172,32866272,1246700,27,3.25,0.43,43
42,PER,Peru,33587011,32971854,1285216,26,1.18,0.42,44
43,MYS,Malaysia,33015425,32365999,330803,99,1.27,0.42,45
44,MOZ,Mozambique,32696683,31255435,801590,40,2.9,0.41,46
45,GHA,Ghana,32120718,31072940,238533,133,2.12,0.4,47
46,YEM,Yemen,30882462,29825964,527968,58,2.23,0.39,48
47,NPL,Nepal,29960704,29136808,147181,202,1.85,0.38,49
48,VEN,Venezuela,28842889,28435940,916445,31,0.95,0.36,50
49,MDG,Madagascar,28860961,27691018,587041,48,2.66,0.36,51
50,CMR,Cameroon,27624492,26545863,475442,57,2.56,0.35,52
51,CIV,Ivory Coast,27451054,26378274,322463,84,2.56,0.34,53
52,PRK,North Korea,25950189,25778816,120538,215,0.42,0.33,54
53,AUS,Australia,25959987,25499884,7692024,3,1.13,0.33,55
54,NER,Niger,25677816,24206644,1267000,20,3.82,0.32,56
55,TWN,Taiwan,23877855,23816775,36193,659,0.16,0.3,57
56,LKA,Sri Lanka,21547096,21413249,65610,328,0.39,0.27,58
57,BFA,Burkina Faso,21847968,20903273,272967,79,2.84,0.27,59
58,MLI,Mali,21212426,20250833,1240192,17,2.99,0.26,60
59,MWI,Malawi,19953296,19129952,118484,166,2.71,0.25,61
60,CHL,Chile,19275294,19116201,756102,25,0.5,0.24,62
61,ROU,Romania,19062255,19237691,238391,80,-0.57,0.24,63
62,KAZ,Kazakhstan,19123199,18776707,2724900,7,1.16,0.24,64
63,ZMB,Zambia,19238117,18383955,752612,25,2.92,0.24,65
64,SYR,Syria,18646187,17500658,185180,99,4.43,0.23,66
65,GTM,Guatemala,18446417,17915568,108889,168,1.87,0.23,67
66,ECU,Ecuador,18033738,17643054,276841,65,1.39,0.23,68
67,SEN,Senegal,17462688,16743927,196722,87,2.7,0.22,69
68,NLD,Netherlands,17195298,17134872,41850,410,0.22,0.22,70
69,KHM,Cambodia,17080063,16718965,181035,94,1.36,0.22,71
70,TCD,Chad,17203787,16425864,1284000,13,2.98,0.21,72
71,SOM,Somalia,16634297,15893222,637657,26,2.93,0.21,73
72,ZWE,Zimbabwe,15229891,14862924,390757,39,1.54,0.19,74
73,GIN,Guinea,13709966,13132795,245857,55,2.78,0.17,75
74,RWA,Rwanda,13466174,12952218,26338,504,2.5,0.17,76
75,BEN,Benin,12644580,12123200,112622,111,2.7,0.16,77
76,BDI,Burundi,12469663,11890784,27834,440,3.07,0.16,78
77,TUN,Tunisia,12003225,11818619,163610,73,0.99,0.15,79
78,BOL,Bolivia,11927124,11673021,1098581,11,1.37,0.15,80
79,BEL,Belgium,11658404,11589623,30528,381,0.37,0.15,81
80,HTI,Haiti,11623799,11402528,27750,416,1.22,0.15,82
81,SSD,South Sudan,11493450,11193725,619745,18,1.68,0.14,83
82,CUB,Cuba,11312548,11326616,109884,103,-0.08,0.14,84
83,DOM,Dominican Republic,11015774,10847910,48671,225,0.98,0.14,85
84,CZE,Czech Republic,10732960,10708981,78865,136,0.15,0.14,86
85,GRC,Greece,10340571,10423054,131990,79,-0.5,0.13,87
86,JOR,Jordan,10322902,10203134,89342,115,0.65,0.13,88
87,AZE,Azerbaijan,10272912,10139177,86600,118,0.83,0.13,89
88,PRT,Portugal,10150252,10196709,92090,110,-0.28,0.13,90
89,SWE,Sweden,10196161,10099265,450295,23,0.6,0.13,91
90,HND,Honduras,10156097,9904607,112492,89,1.6,0.13,92
91,ARE,United Arab Emirates,10051436,9890402,83600,120,1.02,0.13,93
92,TJK,Tajikistan,9873338,9537645,143100,68,2.22,0.12,94
93,HUN,Hungary,9618215,9660351,93028,104,-0.27,0.12,95
94,BLR,Belarus,9438767,9449323,207600,45,-0.07,0.12,96
95,PNG,Papua New Guinea,9220306,8947024,462840,20,1.92,0.12,97
96,AUT,Austria,9065484,9006398,83871,108,0.41,0.11,98
97,ISR,Israel,8868656,8655535,20770,423,1.55,0.11,99
98,CHE,Switzerland,8752564,8654622,41284,211,0.7,0.11,100
99,SRB,Serbia,8674489,8737371,88361,98,-0.46,0.11,101
100,TGO,Togo,8596357,8278724,56785,149,2.41,0.11,102
101,SLE,Sierra Leone,8238113,7976983,71740,113,2.06,0.1,103
102,HKG,Hong Kong,7585785,7496981,1104,6,0.74,0.1,104
103,LAO,Laos,7439920,7275560,236800,31,1.43,0.09,105
104,PRY,Paraguay,7270717,7132538,406752,18,1.22,0.09,106
105,LBY,Libya,7007887,6871292,1759540,4,1.27,0.09,107
106,BGR,Bulgaria,6866274,6948445,110879,62,-0.75,0.09,108
107,LBN,Lebanon,6752766,6825445,10452,648,-0.82,0.09,109
108,NIC,Nicaragua,6748507,6624554,130373,51,1.17,0.09,110
109,KGZ,Kyrgyzstan,6689349,6524195,199951,33,1.6,0.08,111
110,SLV,El Salvador,6537250,6486205,21041,310,0.5,0.08,112
111,TKM,Turkmenistan,6168788,6031200,488100,13,1.44,0.08,113
112,SGP,Singapore,5925135,5850342,710,8,0.79,0.07,114
113,DNK,Denmark,5825798,5792202,43094,135,0.36,0.07,115
114,FIN,Finland,5553102,5540720,338424,16,0.14,0.07,117
115,NOR,Norway,5492570,5421241,323802,17,0.82,0.07,118
116,SVK,Slovakia,5460937,5459642,49037,111,0.02,0.07,119
117,OMN,Oman,5296006,5106626,309500,17,2.29,0.07,120
118,PSE,Palestine,5293440,5101414,6220,840,2.38,0.07,121
119,LBR,Liberia,5252834,5057681,111369,47,2.42,0.07,122
120,CRI,Costa Rica,5165346,5094118,51100,101,0.88,0.07,123
121,IRL,Ireland,5008554,4937786,70273,71,0.91,0.06,124
122,CAF,Central African Republic,4971922,4829767,622984,8,1.87,0.06,125
123,NZL,New Zealand,4883704,4822233,270467,18,0.8,0.06,126
124,MRT,Mauritania,4848828,4649658,1030700,5,2.7,0.06,127
125,PAN,Panama,4420589,4314767,75417,58,1.55,0.06,128
126,KWT,Kuwait,4366698,4270571,17818,243,1.36,0.05,129
127,HRV,Croatia,4067642,4105267,56594,72,-0.58,0.05,130
128,MDA,Moldova,4017984,4033963,33846,119,-0.25,0.05,131
129,GEO,Georgia,3973946,3989167,69700,57,-0.24,0.05,132
130,ERI,Eritrea,3633796,3546421,117600,31,1.55,0.05,133
131,URY,Uruguay,3491832,3473730,181034,19,0.33,0.04,134
132,MNG,Mongolia,3359247,3278290,1564110,2,1.56,0.04,135
133,BIH,Bosnia And Herzegovina,3251612,3280819,51209,64,-0.53,0.04,136
134,JAM,Jamaica,2980575,2961167,10991,271,0.42,0.04,137
135,ARM,Armenia,2970929,2963243,29743,100,0.16,0.04,138
136,QAT,Qatar,2962425,2881053,11586,253,1.72,0.04,139
137,ALB,Albania,2869700,2877797,28748,100,-0.17,0.04,140
138,PRI,Puerto Rico,2806918,2860853,8870,319,-1.14,0.04,141
139,LTU,Lithuania,2670680,2722289,65300,41,-1.19,0.03,142
140,NAM,Namibia,2614500,2540905,825615,3,1.83,0.03,143
141,GMB,Gambia,2528326,2416668,10689,233,2.91,0.03,144
142,BWA,Botswana,2423535,2351627,582000,4,1.94,0.03,145
143,GAB,Gabon,2310507,2225734,267668,9,2.39,0.03,146
144,LSO,Lesotho,2169209,2142249,30355,71,0.79,0.03,147
145,MKD,North Macedonia,2082011,2083374,25713,81,-0.03,0.03,148
146,SVN,Slovenia,2078724,2078938,20273,103,-0.01,0.03,149
147,GNB,Guinea Bissau,2043512,1968001,36125,56,2.41,0.03,150
148,LVA,Latvia,1855735,1886198,64559,29,-1.02,0.02,151
149,BHR,Bahrain,1775452,1701575,765,2,2.75,0.02,152
150,GNQ,Equatorial Guinea,1477483,1402985,28051,52,3.34,0.02,153
151,TTO,Trinidad And Tobago,1405746,1399488,5130,274,0.28,0.02,154
152,TLS,Timor Leste,1358744,1318445,14874,90,1.93,0.02,155
153,EST,Estonia,1324323,1326535,45227,29,-0.1,0.02,156
154,MUS,Mauritius,1274295,1271768,2040,624,0.13,0.02,157
155,CYP,Cyprus,1220541,1207359,9251,131,0.68,0.02,158
156,DJI,Djibouti,1010377,988000,23200,43,1.44,0.01,160
157,FJI,Fiji,906570,896445,18272,49,0.72,0.01,161
158,RU,Reunion,905350,895312,2511,359,0.71,0.01,162
159,COM,Comoros,899658,869601,1862,477,2.17,0.01,163
160,GUY,Guyana,792481,786552,214969,4,0.48,0.01,164
161,BTN,Bhutan,784855,771608,38394,20,1.07,0.01,165
162,SLB,Solomon Islands,714126,686884,28896,24,2.49,0.01,166
163,MAC,Macau,663998,649335,30,21,1.4,0.01,167
164,LUX,Luxembourg,640202,625978,2586,245,1.41,0.01,168
165,MNE,Montenegro,628053,628066,13812,45,-0.0,0.01,169
166,ESH,Western Sahara,620280,597339,266000,2,2.43,0.01,170
167,SUR,Suriname,594817,586632,163820,4,0.88,0.01,171
168,CPV,Cape Verde,565346,555987,4033,139,1.06,0.01,172
169,MDV,Maldives,546203,540544,300,1,0.57,0.01,173
170,MLT,Malta,443646,441543,316,1,0.28,0.01,174
171,BRN,Brunei,443903,437479,5765,77,0.93,0.01,175
172,BLZ,Belize,409224,397628,22966,18,1.83,0.01,176
173,BHS,Bahamas,399068,393244,13943,28,0.93,0.01,178
174,MTQ,Martinique,374314,375265,1128,332,-0.14,0.0,179
175,ISL,Iceland,344646,341243,103000,3,0.62,0.0,180
176,VUT,Vanuatu,318774,307145,12189,26,2.38,0.0,181
177,NCL,New Caledonia,289727,285498,18575,16,0.95,0.0,183
178,BRB,Barbados,287927,287375,430,669,0.12,0.0,184
179,PYF,French Polynesia,283392,280908,4167,68,0.58,0.0,185
180,MYT,Mayotte,283394,272815,374,747,2.46,0.0,186
181,STP,Sao Tome And Principe,225954,219159,964,232,1.92,0.0,187
182,WSM,Samoa,201011,198414,2842,70,0.87,0.0,188
183,LCA,Saint Lucia,184831,183627,616,299,0.42,0.0,189
184,GUM,Guam,171041,168775,549,310,0.83,0.0,190
185,CUW,Curacao,165229,164093,444,371,0.43,0.0,191
186,KIR,Kiribati,122470,119449,811,150,1.63,0.0,192
187,FSM,Micronesia,116901,115023,702,166,1.07,0.0,193
188,GRD,Grenada,113237,112523,344,329,0.44,0.0,194
189,ABW,Aruba,107204,106766,180,596,0.41,0.0,196
190,TON,Tonga,107407,105695,747,143,1.01,0.0,197
191,VIR,United States Virgin Islands,104010,104425,347,300,-0.19,0.0,198
192,SYC,Seychelles,99124,98347,452,219,0.57,0.0,199
193,ATG,Antigua And Barbuda,99162,97929,442,223,0.82,0.0,200
194,AND,Andorra,77355,77265,468,165,0.12,0.0,202
195,DMA,Dominica,72167,71986,751,96,0.25,0.0,203
196,CYM,Cayman Islands,66497,65722,264,252,1.18,0.0,204
197,BMU,Bermuda,62090,62278,54,1,-0.3,0.0,205
198,MHL,Marshall Islands,59610,59190,181,329,0.71,0.0,206
199,MNP,Northern Mariana Islands,57917,57559,464,125,0.62,0.0,207
200,GRL,Greenland,56877,56770,2166086,0,0.19,0.0,208
201,ASM,American Samoa,55100,55191,199,277,-0.16,0.0,209
202,KNA,Saint Kitts And Nevis,53544,53199,261,205,0.65,0.0,210
203,FRO,Faroe Islands,49049,48863,1393,35,0.38,0.0,211
204,MAF,Sint Maarten,43412,42876,34,1,1.25,0.0,212
205,MCO,Monaco,39511,39242,2,19,0.69,0.0,213
206,MAF,Saint Martin,39234,38666,53,740,1.47,0.0,214
207,TCA,Turks And Caicos Islands,39231,38717,948,41,1.33,0.0,215
208,LIE,Liechtenstein,38250,38128,160,239,0.32,0.0,216
209,SMR,San Marino,34017,33931,61,558,0.25,0.0,217
210,GIB,Gibraltar,33698,33691,6,5,0.02,0.0,218
211,PLW,Palau,18169,18094,459,40,0.41,0.0,220
212,COK,Cook Islands,17565,17564,236,74,0.01,0.0,221
213,AIA,Anguilla,15117,15003,91,166,0.76,0.0,222
214,TUV,Tuvalu,11931,11792,26,459,1.18,0.0,223
215,WLF,Wallis And Futuna,11094,11239,142,78,-1.29,0.0,224
216,NRU,Nauru,10876,10824,21,518,0.48,0.0,225
217,BL,Saint Barthelemy,9907,9877,21,472,0.3,0.0,226
218,SPM,Saint Pierre And Miquelon,5766,5794,242,24,-0.48,0.0,227
219,MSR,Montserrat,4977,4992,102,49,-0.3,0.0,228
220,FLK,Falkland Islands,3533,3480,12173,0,1.52,0.0,229
221,NIU,Niue,1619,1626,260,6,-0.43,0.0,230
222,TKL,Tokelau,1373,1357,12,114,1.18,0.0,231
223,VAT,Vatican City,800,801,1,800,-0.12,0.0,232
